"question_flag","answer_flag","interjection_flag","speech_flag","chamber_flag","stage_direction_flag","speaker_no","name","name.id","electorate","party","role","page.no","content","subdebateinfo","debateinfo","path","Speaker","Time"
"0","0","0","0","1","1","1","N/A","N/A","N/A","N/A","N/A","N/A","Tuesday, 14 May 2024","N/A","N/A","/hansard/chamber.xscript/business.start/body/p[1]","N/A","N/A"
"0","0","0","0","1","1","2","N/A","N/A","N/A","N/A","N/A","N/A","The SPEAKER ( Hon. Milton Dick ) took the chair at 12:00, made an acknowledgement of country and read prayers.","N/A","N/A","/hansard/chamber.xscript/business.start/body/p[2]","N/A","N/A"
"0","0","0","1","1","0","3","N/A","N/A","N/A","N/A","N/A","N/A","Pursuant to standing order 17, I lay on the table my warrant nominating the honourable member for Flinders to be members of the Speaker's panel to assist the chair when requested to do so by the Speaker or the Deputy Speaker.","Speaker's Panel","PARLIAMENTARY OFFICE HOLDERS","/hansard/chamber.xscript/debate[1]/subdebate.1/speech/talk.text/body/p","The SPEAKER ","(12:01):"
"0","0","0","1","1","0","4","N/A","N/A","N/A","N/A","N/A","N/A","I have received a message from the Senate informing the House that Senator Bilyk has been discharged from the Parliamentary Joint Committee on the National Anti-Corruption Commission and that Senator Ghosh has been appointed as a member of this committee.","National Anti-Corruption Commission Joint Committee","COMMITTEES","/hansard/chamber.xscript/debate[2]/subdebate.1/subdebate.2/speech/talk.text/body/p","The SPEAKER ","(12:01):"
"0","0","0","1","1","0","5","N/A","N/A","N/A","N/A","N/A","N/A","I declare that unless otherwise ordered the following bills stand referred to the Federation Chamber for further consideration: (1) Parliamentary Business Resources Legislation Amendment (Review Implementation and Other Measures) Bill 2024, Criminal Code Amendment (Protecting Commonwealth Frontline Workers) Bill 2024, Illegal Logging Prohibition Amendment (Strengthening Measures to Prevent Illegal Timber Trade) Bill 2024, Treasury Laws Amendment (Financial Market Infrastructure and Other Measures) Bill 2024, Australian Postal Corporation and Other Legislation Amendment Bill 2024 and Financial Framework (Supplementary Powers) Amendment Bill 2024, at the adjournment of the debate on the motion for the second reading of each bill; and (2) Digital ID Bill 2024 and Digital ID (Transitional and Consequential Provisions) Bill 2023, at the adjournment of the debate on the motion for the second reading of the Digital ID Bill 2024.","Parliamentary Business Resources Legislation Amendment (Review Implementation and Other Measures) Bill 2024, Criminal Code Amendment (Protecting Commonwealth Frontline Workers) Bill 2024, Illegal Logging Prohibition Amendment (Strengthening Measures to Prevent Illegal Timber Trade) Bill 2024, Treasury Laws Amendment (Financial Market Infrastructure and Other Measures) Bill 2024, Australian Postal Corporation and Other Legislation Amendment Bill 2024, Financial Framework (Supplementary Powers) Amendment Bill 2024, Digital ID Bill 2024, Digital ID (Transitional and Consequential Provisions) Bill 2023","BILLS","/hansard/chamber.xscript/debate[3]/subdebate.1[6]/subdebate.2/speech/talk.text/body/p","Mr BURKE (Watson—Minister for Employment and Workplace Relations, Minister for the Arts and Leader of the House) ","(12:04):"
"0","0","0","1","1","0","6","N/A","N/A","N/A","N/A","N/A","N/A","I declare Federation Chamber order of the day No. 1, government business, relating to the Prime Minister's motion of condolence in connection with the death of Lance Corporal Jack Patrick Fitzgibbon is returned to the House for further consideration.","Orders of the Day","BUSINESS","/hansard/chamber.xscript/debate[4]/subdebate.1/speech/talk.text/body/p","Mr BURKE (Watson—Minister for Employment and Workplace Relations, Minister for the Arts and Leader of the House) ","(12:05):"
"0","0","0","1","1","0","7","N/A","N/A","N/A","N/A","N/A","N/A","I move:  That so much of the standing and sessional orders be suspended as would prevent the Member for Melbourne moving the following motion: That the House: (1) notes the world is on track for a catastrophic 2.5 to 3 degree warming of the planet based on current policies; (2) acknowledges that coal and gas are fuelling the climate crisis; (3) condemns the Future Gas Strategy which intends to expand gas production to 2050 and beyond; and (4) calls on the Environment Minister and Resources Minister to stop approving new coal and gas mines. We are in a climate crisis. With scientists on the weekend saying that they are despairing at the possibility of delivering something close to a safe climate to our kids and grandkids, with people in the Northern Rivers of New South Wales still unable to get back into their homes after the devastating floods, with people in Queensland and Brisbane unable to afford to insure their houses because the risk of coal and gas fuelled floods is now so severe, and with the Great Barrier Reef bleaching yet again on the very same day that the Prime Minister and the resources minister turn up to celebrate the thousandth gas shipment going out of ports there, it is vital that today we debate now and call on the government to stop approving new coal and gas mines. What is crystal clear now, after the announcements we've seen over the last few days, is that Labor want coal and gas past 2050, at a time when they told us they were going to get to zero pollution. They now want it past 2050. The environment minister has approved coalmines to run past 2050. The government now, in a cabinet endorsed gas strategy, says they want gas to 2050 and beyond. 2050 would have been too late to reach zero, but now we're not even going to reach it then, because Labor's policy, crystal clear, is to keep opening new coal and gas mines and have it running past 2050, even though every scientist is telling us that that is a recipe for catastrophic heatwaves and floods and fires for people who are going to primary school today. It means that during the lifetime of kids at primary school today they will see Australia lose its capacity to feed itself as the Murray-Darling Basin evaporates and becomes 92 per cent less productive than it is at the moment. It will mean they go to every school holidays and Christmas holidays worried about how many people are going to die in the heatwaves and bushfires that will hit that year, because this parliament and this government failed to get the climate crisis under control. Five new coal projects and eight new gas projects—that's what the Labor government have approved since they came to power. And now they have embraced Scott Morrison. The Prime Minister is now worse than Scott Morrison, pushing for new gas projects and having them go past 2050, at a time when we should be at absolutely zero pollution, if not much sooner. You know what, Mr Speaker? At 5.15 the day after parliament rose last time, after we had been sitting here for weeks debating gas, we found out that the environment minister had secretly approved the pipeline for the Beetaloo gas project. She didn't tell parliament about it. It just happened to become public the day after scrutiny could have been put on them in question time while parliament was sitting here. I want to make a special mention of those lions in their electorates who are mice in the parliament, the members for Macnamara, Wills, Richmond, Cooper and Moreton, all of whom sat here and cheered on every one of those new coal and gas mines when they were approved. Now, apparently, they're saying that there's a problem with the government's gas strategy. Well, this is a chance to come and vote on it. There's one thing that you get here that everyday people don't get: when you come to parliament, you get your vote. People want to know whether you're going to vote for more coal and gas mines or vote against them. This is a chance now to put your money where your mouth is and be on the right side of history. Stop approving new coal and gas mines. Come and vote with those of us in the Greens and on the crossbench who know the science and want to stop seeing this climate crisis get worse. If you don't—if your party doesn't let you—then quit your party. It is crystal clear now that Labor's policy is for more coal and gas past 2050, unless we stop them with this motion today and a commitment from the government that they will stop opening new coal and gas projects. Is the motion seconded?","Climate Change","MOTIONS","/hansard/chamber.xscript/debate[5]/subdebate.1/speech[1]/talk.text/body/p[1]","Mr BANDT (Melbourne—Leader of the Australian Greens) ","(12:05):"
"0","0","1","0","1","0","8","Dick, Milton MP ","53517","Oxley","ALP","N/A","2583","N/A","Climate Change","MOTIONS","/hansard/chamber.xscript/debate[5]/subdebate.1/speech[1]/interjection/talk.start","N/A","N/A"
"0","0","0","1","1","0","8","Dick, Milton MP ","53517","N/A","N/A","N/A","N/A","I second the motion. It is clear that gas corporations run the Australian Labor Party. It is so abundantly clear. There are three reasons why.  Mr Perrett: Rubbish! Mr CHANDLER-MATHER: We hear objections immediately; it feels like we maybe touched a nerve again. Firstly, they let gas corporations get away with paying next to no tax. On income tax, Santos pays less income tax than anyone watching this at home. We also know that Santos last year wrote to the Labor resource minister asking for changes to environmental approvals to allow them to accelerate the approval of the Barossa gas project, and then Labor did just that, overriding the wishes of First Nations people and serious environmental concerns. Any other constituent in Australia would love the idea that they could write to the minister and then immediately get what they want. What about all the people on JobSeeker writing to the minister, asking to have their payments raised above the poverty line, or the people stuck on waiting lists or the renters out there? They get ignored. But, if you're the CEO of Santos, you get exactly what you want. We also know that this new gas strategy is something of which every Labor member in this place should be deeply, deeply ashamed. I frankly do not know how anyone on that side of the House can sleep at night. Expanding gas production out past 2050 basically locks in catastrophic climate change. One of the lies that are perpetrated in this place, or these mistruths, is that Australia only has a small part to play when tackling climate change. Australia is one of the biggest exporters of fossil fuels in the world. In fact, the two countries that beat us are Saudi Arabia and Russia, which are hardly wonderful company to have. So let's get this straight. The Labor Party is now going to spend public money expanding gas production out past 2050—gas production, by the way, that produces methane that is 80 times more potent in warming the planet than CO2. They let gas corporations get away with paying next to no tax. They're going to give them public money to do it. They roll over when the Labor resource minister gets written to by the CEO of Santos. It's incredible. On taxes, by the way, we're about to have a federal budget, so let's talk about taxes for a second. Over a seven-year period, Santos made $28.9 billion in income. They paid an effective tax rate on that of 0.02 per cent. Eighty-two per cent of all the gas produced in Australia is exported overseas. So, really, what's remarkable about this—what is so destructive—is that they are pursuing a gas strategy that allows large multinational corporations, like Santos, Chevron and Woodside, to export enormous amounts of gas overseas, pay no tax on it, destroy the planet and hurt everyone other than the CEOs of Santos and Woodside. That's who the Labor Party is picking. Let's think about Norway for a second. Some members of this place will say, 'It's very hard to tax gas corporations.' Norway manages it. In 2023, there was $209 billion earned in the Norwegian gas industry. They paid an effective tax rate of 63 per cent. In Australia, in the same year, gas corporations made $164 billion of revenue but only paid tax on that, plus royalties, at a rate of nine per cent. If those gas corporations in Australia paid the same tax rate as they did in Norway, in a single year the Australian government would have earned an extra $88.8 billion in revenue. That would fund putting dental into Medicare and completely solve the housing crisis by funding a mass construction of public housing. We could coordinate a freeze on rent increases. We could make university education free. We could wipe student debt. We could raise the poverty payments that the government forces people to live on, like JobSeeker, above the poverty line. We could do all of that. We could fundamentally improve people's lives and we could fund a transition plan out of coal and gas in the medium term. Instead, this government is raising more money from student debt than they are from gas taxes, expanding gas production out past 2050 and approving coalmines that will be mining coal out to 2070—and expecting Australians to put up with it. Functionally what the Labor Party is doing in this place is acting as the political representative of Woodside, Santos and the entire gas industry. They're attempting to pull the wool over ordinary people's eyes by suggesting that somehow they care about other Australians out there. But let's look at the evidence. There are record low taxes for gas corporations, which see Santos pay a lower percentage tax rate than a cleaner, a teacher or a nurse; they all pay a higher percentage tax rate than Santos does. There's public money to help Santos and Woodside do what they want to do—expand gas production and destroy the planet. At the end of all of this, what do we get? The world's scientists have said that warming is going to expand past 1½ degrees, and God only knows what's going to happen as warming surges past 2½ degrees and three degrees. And many members of this place won't have to be here to suffer the consequences. (Time expired)","Climate Change","MOTIONS","/hansard/chamber.xscript/debate[5]/subdebate.1/speech[2]/talk.text/body/p[1]","Mr CHANDLER-MATHER (Griffith) ","(12:11):"
"0","0","1","0","1","0","9","Perrett, Graham Douglas MP","HVP","Moreton","ALP","N/A","2583","N/A","Climate Change","MOTIONS","/hansard/chamber.xscript/debate[5]/subdebate.1/speech[2]/interjection/talk.start","N/A","N/A"
