"full_name","party","electorate","total_speeches","total_words","avg_speech_length","questions_asked","answers_given"
NA,NA,NA,1004,3945695,3941.75324675325,NA,NA
"Dick, Milton MP","ALP","Oxley",321,195681,5017.46153846154,NA,NA
"Albanese, Anthony MP","ALP","Grayndler",66,133734,2431.52727272727,NA,NA
"DEPUTY SPEAKER, The",NA,NA,55,176179,9787.72222222222,NA,NA
"Claydon, Sharon MP","ALP","Newcastle",43,138345,12576.8181818182,NA,NA
"Sukkar, Michael MP","LP","Deakin",43,462,154,NA,NA
"Burke, Tony MP","ALP","Watson",40,24777,2252.45454545455,NA,NA
"Chalmers, Jim MP","ALP","Rankin",28,58387,2085.25,NA,NA
"Dutton, Peter Craig MP","LNP","Dickson",25,3968,440.888888888889,NA,NA
"Sharkie, Rebekha MP","CA","Mayo",18,28804,4800.66666666667,NA,NA
"Taylor, Angus MP","LP","Hume",18,4009,250.5625,NA,NA
"Vasta, Ross MP","LNP","Bonner",18,69647,13929.4,NA,NA
"Freelander, Mike MP","ALP","Macarthur",16,46333,9266.6,NA,NA
"Young, Terry MP","LNP","Longman",15,25776,6444,NA,NA
"Butler, Mark Christopher MP","ALP","Hindmarsh",14,31065,2218.92857142857,NA,NA
"Chesters, Lisa MP","ALP","Bendigo",13,17665,4416.25,NA,NA
"Ley, Sussan Penelope MP","LP","Farrer",13,2244,320.571428571429,NA,NA
"Scrymgour, Marion MP","ALP","Lingiari",13,47741,5967.625,NA,NA
"Archer, Bridget MP","LP","Bass",12,502,502,NA,NA
"Hogan, Kevin MP","NATS","Page",12,11032,2206.4,NA,NA
"McCormack, Michael MP","NATS","Riverina",12,29556,7389,NA,NA
"Perrett, Graham Douglas MP","ALP","Moreton",12,103994,20798.8,NA,NA
"Joyce, Barnaby MP","NATS","New England",10,83625,20906.25,NA,NA
"Swanson, Meryl Jane MP","ALP","Paterson",10,6407,800.875,NA,NA
"Tehan, Dan MP","LP","Wannon",10,44010,11002.5,NA,NA
"Clare, Jason Dean MP","ALP","Blaxland",9,17043,1893.66666666667,NA,NA
"Dreyfus, Mark MP","ALP","Isaacs",9,7935,1983.75,NA,NA
"Georganas, Steve MP","ALP","Adelaide",9,23790,7930,NA,NA
"Lawrence, Tania MP","ALP","Hasluck",9,23165,3860.83333333333,NA,NA
"Aly, Anne MP","ALP","Cowan",8,15533,2219,NA,NA
"Bowen, Chris MP","ALP","McMahon",8,39921,5703,NA,NA
"Mitchell, Rob MP","ALP","McEwen",8,32891,6578.2,NA,NA
"Phillips, Fiona MP","ALP","Gilmore",8,1764,220.5,NA,NA
"Watson-Brown, Elizabeth MP","AG","Ryan",8,57535,11507,NA,NA
"Birrell, Sam MP","NATS","Nicholls",7,28063,14031.5,NA,NA
"Goodenough, Ian MP","IND","Moore",7,100644,50322,NA,NA
"Pasin, Tony MP","LP","Barker",7,58224,29112,NA,NA
"Plibersek, Tanya Joan MP","ALP","Sydney",7,11193,1599,NA,NA
"Repacholi, Dan MP","ALP","Hunter",7,8998,2999.33333333333,NA,NA
"Vamvakinou, Maria MP","ALP","Calwell",7,7199,3599.5,NA,NA
"Andrews, Karen MP","LNP","McPherson",6,NA,NA,NA,NA
"King, Catherine Fiona MP","ALP","Ballarat",6,12811,2135.16666666667,NA,NA
"Laxale, Jerome MP","ALP","Bennelong",6,767,191.75,NA,NA
"McKenzie, Zoe MP","LP","Flinders",6,835,417.5,NA,NA
"Payne, Alicia MP","ALP","Canberra",6,470,235,NA,NA
"Bandt, Adam Paul MP","AG","Melbourne",5,933,466.5,NA,NA
"Chandler-Mather, Max MP","AG","Griffith",5,12865,6432.5,NA,NA
"Collins, Julie Maree MP","ALP","Franklin",5,9857,2464.25,NA,NA
"O'Neil, Clare Ellen MP","ALP","Hotham",5,12997,2599.4,NA,NA
"Ryan, Monique MP","IND","Kooyong",5,72137,18034.25,NA,NA
"Steggall, Zali MP","IND","Warringah",5,1119,559.5,NA,NA
"Ware, Jenny MP","LP","Hughes",5,4093,1364.33333333333,NA,NA
"Webster, Anne MP","NATS","Mallee",5,45647,22823.5,NA,NA
"Burnell, Matt MP","ALP","Spence",4,20175,6725,NA,NA
"Daniel, Zoe MP","IND","Goldstein",4,860,430,NA,NA
"Keogh, Matt MP","ALP","Burt",4,10109,2527.25,NA,NA
"Miller-Frost, Louise MP","ALP","Boothby",4,800,200,NA,NA
"O'Brien, Ted MP","LNP","Fairfax",4,681,340.5,NA,NA
"Sitou, Sally MP","ALP","Reid",4,844,211,NA,NA
"Belyea, Jodie MP","ALP","Dunkley",3,547,182.333333333333,NA,NA
"Buchholz, Scott MP","LNP","Wright",3,5411,5411,NA,NA
