"full_name","party","electorate","total_speeches","total_words","avg_speech_length","questions_asked","answers_given"
NA,NA,NA,452,1126765,2509.49888641425,NA,NA
"Dick, Milton MP","ALP","Oxley",172,87631,6259.35714285714,NA,NA
"Albanese, Anthony MP","ALP","Grayndler",32,45079,1609.96428571429,NA,NA
"DEPUTY SPEAKER, The",NA,NA,21,80747,10093.375,NA,NA
"Chalmers, Jim MP","ALP","Rankin",18,33477,2092.3125,NA,NA
"Sukkar, Michael MP","LP","Deakin",16,NA,NA,NA,NA
"Dutton, Peter Craig MP","LNP","Dickson",15,1893,473.25,NA,NA
"Burke, Tony MP","ALP","Watson",14,12470,2078.33333333333,NA,NA
"Claydon, Sharon MP","ALP","Newcastle",14,207,207,NA,NA
"Taylor, Angus MP","LP","Hume",14,2469,246.9,NA,NA
"Plibersek, Tanya Joan MP","ALP","Sydney",8,11193,1599,NA,NA
"Marles, Richard Donald MP","ALP","Corio",7,12228,2038,NA,NA
"Chesters, Lisa MP","ALP","Bendigo",6,576,192,NA,NA
"Butler, Mark Christopher MP","ALP","Hindmarsh",5,10475,2095,NA,NA
"Clare, Jason Dean MP","ALP","Blaxland",5,11696,2339.2,NA,NA
"King, Catherine Fiona MP","ALP","Ballarat",5,7312,1462.4,NA,NA
"Perrett, Graham Douglas MP","ALP","Moreton",5,13737,4579,NA,NA
"Vasta, Ross MP","LNP","Bonner",5,NA,NA,NA,NA
"Watson-Brown, Elizabeth MP","AG","Ryan",5,51102,17034,NA,NA
"Chandler-Mather, Max MP","AG","Griffith",4,12883,6441.5,NA,NA
"Dreyfus, Mark MP","ALP","Isaacs",4,4421,2210.5,NA,NA
"Fletcher, Paul MP","LP","Bradfield",4,832,416,NA,NA
"Giles, Andrew MP","ALP","Scullin",4,68999,34499.5,NA,NA
"Ley, Sussan Penelope MP","LP","Farrer",4,1592,530.666666666667,NA,NA
"Archer, Bridget MP","LP","Bass",3,NA,NA,NA,NA
"Bandt, Adam Paul MP","AG","Melbourne",3,523,523,NA,NA
"Bowen, Chris MP","ALP","McMahon",3,9333,3111,NA,NA
"Chester, Darren MP","NATS","Gippsland",3,37444,37444,NA,NA
"Husic, Ed MP","ALP","Chifley",3,7991,2663.66666666667,NA,NA
"Landry, Michelle MP","LNP","Capricornia",3,854,284.666666666667,NA,NA
"Lim, Sam MP","ALP","Tangney",3,623,207.666666666667,NA,NA
"Littleproud, David MP","LNP","Maranoa",3,437,218.5,NA,NA
"McKenzie, Zoe MP","LP","Flinders",3,983,327.666666666667,NA,NA
"Miller-Frost, Louise MP","ALP","Boothby",3,601,200.333333333333,NA,NA
"Neumann, Shayne Kenneth MP","ALP","Blair",3,717,239,NA,NA
"Pasin, Tony MP","LP","Barker",3,4070,4070,NA,NA
"Reid, Gordon MP","ALP","Robertson",3,716,238.666666666667,NA,NA
"Stanley, Anne MP","ALP","Werriwa",3,696,232,NA,NA
"Steggall, Zali MP","IND","Warringah",3,1711,570.333333333333,NA,NA
"Tehan, Dan MP","LP","Wannon",3,419,419,NA,NA
"Aly, Anne MP","ALP","Cowan",2,2868,1434,NA,NA
"Belyea, Jodie MP","ALP","Dunkley",2,501,250.5,NA,NA
"Birrell, Sam MP","NATS","Nicholls",2,36787,36787,NA,NA
"Burnell, Matt MP","ALP","Spence",2,416,208,NA,NA
"Garland, Carina MP","ALP","Chisholm",2,461,230.5,NA,NA
"Goodenough, Ian MP","IND","Moore",2,88917,88917,NA,NA
"Gosling, Luke MP","ALP","Solomon",2,187,187,NA,NA
"Haines, Helen MP","IND","Indi",2,870,435,NA,NA
"Hastie, Andrew MP","LP","Canning",2,699,349.5,NA,NA
"Joyce, Barnaby MP","NATS","New England",2,NA,NA,NA,NA
"Katter, Bob MP","KAP","Kennedy",2,880,880,NA,NA
"Keogh, Matt MP","ALP","Burt",2,4776,2388,NA,NA
"Lawrence, Tania MP","ALP","Hasluck",2,510,255,NA,NA
"O'Neil, Clare Ellen MP","ALP","Hotham",2,1041,520.5,NA,NA
"Price, Melissa Lee MP","LP","Durack",2,320,160,NA,NA
"Rishworth, Amanda Louise MP","ALP","Kingston",2,5482,2741,NA,NA
"Roberts, Tracey MP","ALP","Pearce",2,332,166,NA,NA
"Ryan, Joanne MP","ALP","Lalor",2,414,207,NA,NA
"Scrymgour, Marion MP","ALP","Lingiari",2,1747,1747,NA,NA
"Sharkie, Rebekha MP","CA","Mayo",2,NA,NA,NA,NA
"Smith, David MP","ALP","Bean",2,418,209,NA,NA
"Spender, Allegra MP","IND","Wentworth",2,1254,627,NA,NA
"Swanson, Meryl Jane MP","ALP","Paterson",2,441,220.5,NA,NA
"Templeman, Susan MP","ALP","Macquarie",2,455,227.5,NA,NA
"Tink, Kylea MP","IND","North Sydney",2,5249,5249,NA,NA
"Wells, Anika MP","ALP","Lilley",2,5296,2648,NA,NA
"Wilson, Rick MP","LP","O'Connor",2,6602,6602,NA,NA
"Ananda-Rajah, Michelle MP","ALP","Higgins",1,174,174,NA,NA
"Buchholz, Scott MP","LNP","Wright",1,NA,NA,NA,NA
"Byrnes, Alison MP","ALP","Cunningham",1,249,249,NA,NA
"Charlton, Andrew MP","ALP","Parramatta",1,165,165,NA,NA
"Coleman, David MP","LP","Banks",1,882,882,NA,NA
"Collins, Julie Maree MP","ALP","Franklin",1,2316,2316,NA,NA
"Conaghan, Pat MP","NATS","Cowper",1,NA,NA,NA,NA
"Conroy, Pat MP","ALP","Shortland",1,3246,3246,NA,NA
"Daniel, Zoe MP","IND","Goldstein",1,495,495,NA,NA
"Hamilton, Garth MP","LNP","Groom",1,NA,NA,NA,NA
"Hogan, Kevin MP","NATS","Page",1,NA,NA,NA,NA
"Khalil, Peter MP","ALP","Wills",1,166,166,NA,NA
"Laxale, Jerome MP","ALP","Bennelong",1,172,172,NA,NA
"Mascarenhas, Zaneta MP","ALP","Swan",1,171,171,NA,NA
"McBain, Kristy MP","ALP","Eden-Monaro",1,429,429,NA,NA
"Mitchell, Brian MP","ALP","Lyons",1,196,196,NA,NA
"Mitchell, Rob MP","ALP","McEwen",1,213,213,NA,NA
"O'Brien, Ted MP","LNP","Fairfax",1,385,385,NA,NA
"Phillips, Fiona MP","ALP","Gilmore",1,196,196,NA,NA
"Pike, Henry MP","LNP","Bowman",1,354,354,NA,NA
"Rae, Sam MP","ALP","Hawke",1,219,219,NA,NA
